$DATA1 SOURCE='HSPICE' VERSION='K-2015006-2 linux64'
0TITLE '0temp 25'
 pow              current          s_0_0            s_0_1           
 s_0_2            s_0_3            s_0_4            s_0_5           
 s_0_6            s_0_7            s_1_0            s_1_1           
 s_1_2            s_1_3            s_1_4            s_1_5           
 s_1_6            s_1_7            s_2_0            s_2_1           
 s_2_2            s_2_3            s_2_4            s_2_5           
 s_2_6            s_2_7            s_3_0            s_3_1           
 s_3_2            s_3_3            s_3_4            s_3_5           
 s_3_6            s_3_7            s_4_0            s_4_1           
 s_4_2            s_4_3            s_4_4            s_4_5           
 s_4_6            s_4_7            s_5_0            s_5_1           
 s_5_2            s_5_3            s_5_4            s_5_5           
 s_5_6            s_5_7            temper           alter#          
  507282e-04      -408270e-13      -109424e-02         1006352      
    1006007          1006179          1005945          1005896      
    1006006          1006007          1006569          1006637      
    1006252       -100861e-02      -407740e-03         1005784      
    1005855          1005854       -109157e-02      -708612e-03     
 -802608e-03         1006073          1005771       -704824e-03     
  905394e-02         1005861          1006529       -103360e-02     
 -103448e-02      -100701e-02      -100109e-02      -901019e-03     
 -403950e-03         1005563       -109570e-02         1006352      
    1006000          1006193          1005938          1005908      
    1005884       -904529e-03         1006570          1006638      
    1006277       -100301e-02      -402102e-03         1005835      
    1005927       -504790e-03        25000000       1               
